cycle,length(car),mean(car collect each.delta),mean((road where (each.is_main_road and (distance_to(each.location,validation_center) < validation_radius))) collect each.car_count_per_hour),mean(car collect each.speed) * 3.6,(100 * (car count (each.speed < 1))) / (length(car) + 1),cumulative_acceleration / max(trips at (length(trips) - 1),0.001),trips at (length(trips) - 1)
0,2000,0.0,0.0,0.0,99.95002498750625,0.0,0
60,2043,40.93420635105435,2.0136363636363637,20.818185414762645,26.2720156555773,565.0016608755919,43
120,2079,41.470218665782184,7.359090909090909,23.00498237209976,19.423076923076923,571.0055320770457,80
180,2169,41.86770846517541,15.00909090909091,20.033949502509955,23.732718894009217,394.0617842151369,171
240,2281,43.526138713957685,22.1,21.482640427657262,22.830850131463627,319.03838707819546,284
300,2424,45.891223267378514,30.740909090909092,20.63342390414768,24.577319587628867,267.9080606363041,428
360,2499,48.33423616534372,39.49090909090909,20.300525951558008,25.04,237.7872666574666,587
420,2499,49.43383118311347,47.127272727272725,21.27080600217631,22.88,209.4687128637679,787
480,2499,55.44322118211106,55.986363636363635,20.52329565130415,27.16,188.32207923137497,1008
540,2500,56.306524529650375,64.8409090909091,20.722755744657142,23.51059576169532,174.69758969036695,1229
600,2500,58.585511263747115,73.69545454545455,20.949605551273763,25.74970011995202,167.48570023789784,1431
660,2738,56.152056333841784,82.35,20.152865221058974,26.031398320554946,159.09874143054344,1671
720,2993,55.44645122170684,90.75,18.861218401587667,22.044088176352705,152.42653525186768,1929
780,3000,53.96240442807921,99.47727272727273,19.74491891215698,21.859380206597802,150.1626969040949,2158
840,2999,54.94289959125391,108.44545454545455,18.87204013781326,28.866666666666667,146.75788209135501,2409
900,2999,53.15570089344349,117.0,19.6581596448877,25.7,144.77458503670147,2645
960,3000,53.15103396823197,125.53181818181818,19.34815189579807,26.89103632122626,141.08768990947254,2923
1020,3000,56.01161557212614,135.69545454545454,21.39885708431649,25.82472509163612,139.79493491216033,3163
1080,2999,53.11044293246995,144.4,19.330286329536168,25.9,137.19979314937197,3432
1140,2999,55.23256202238464,153.34545454545454,19.488714796570015,25.3,134.3428671106206,3723
1200,2999,58.902519123224145,162.46818181818182,20.008666537277932,24.8,133.4570400663962,3968
1260,3271,61.42159721427136,170.67727272727274,18.171984159208318,27.231051344743275,132.0422395160221,4244
1320,3500,65.57371389675258,180.29090909090908,18.183744064418224,28.477577834904313,130.98142566400873,4534
1380,3499,64.74899776622057,188.70454545454547,18.76909794087959,28.02857142857143,130.27790158478007,4817
