cycle,length(car),delta_medio,flusso_medio,vel_media,auto_ferme,cum_acc,n_trips
0,3500,0.0,0.0,0.0,99.97143673236218,0.0,0
60,3500,40.94195079827543,3.890909090909091,18.15909031857472,27.420736932305054,470.5248161542575,86
120,3500,41.186861115586304,11.063636363636364,21.221029930442512,20.565552699228792,497.5593523895112,152
180,3500,42.31561587067549,20.45,18.431173251901736,30.391316766638102,395.2991259733354,276
240,3500,43.50675908793565,29.990909090909092,18.32242802360893,32.1622393601828,334.9574825090856,425
300,3499,46.15780094027583,40.45,19.55523741370589,28.4,280.6058527664475,624
360,3499,49.449637069910054,52.15,18.085974771730463,30.571428571428573,248.15676877712093,834
420,3499,53.10341938521984,62.60454545454545,19.226561199772306,28.428571428571427,230.44486957982906,1042
480,3499,55.65971173240542,73.53181818181818,19.490871052680273,29.65714285714286,211.36625452520946,1292
540,3499,56.73412610442217,83.64090909090909,18.18387489227905,29.37142857142857,196.6417583114795,1550
600,3500,57.46945987891481,93.44090909090909,18.24795357327927,28.1348186232505,184.94910820929294,1825
660,3500,60.75366470781725,103.24545454545455,19.506082147574606,26.47814910025707,172.6927676188083,2146
720,3499,63.14815120702418,113.56818181818181,18.232969890828635,30.114285714285714,163.3539942237248,2468
780,3499,64.43452473218822,122.07272727272728,17.16402864050607,32.65714285714286,157.97948228332928,2754
840,3500,64.83659556745755,131.93636363636364,18.50240488280808,28.934590117109398,153.16422719938097,3055
900,3500,67.5372231020407,142.02272727272728,17.189410690160145,30.105684090259924,149.08743643294315,3355
960,3500,65.79805617491337,151.49545454545455,19.000268169400734,29.134532990574122,146.0082422755379,3658
1020,3499,67.5345932649712,161.67727272727274,17.54124282041238,31.857142857142858,143.91775841495053,3935
1080,3499,68.15451364270719,171.61363636363637,17.885683058419634,32.142857142857146,142.6123604472445,4195
1140,3499,72.4885228530517,181.3590909090909,16.849302171263755,33.68571428571428,140.78871345950176,4473
1200,3500,71.03089708738584,191.1,18.06437081023157,30.67694944301628,138.86967789095715,4763
1260,3499,72.19478694327661,201.38181818181818,18.048794292009813,30.114285714285714,137.3363400405151,5052
1320,3499,71.58189220805292,210.87727272727273,17.921836614572555,32.34285714285714,135.96992649475436,5340
1380,3500,72.46603769062042,220.3909090909091,18.715539617247433,28.24907169380177,134.4329669088416,5643
1440,3499,71.9080170181589,230.47727272727272,18.652596918963265,29.17142857142857,133.72087220320432,5919
1500,3499,73.06638623689757,240.28181818181818,18.46430870626479,27.82857142857143,132.69290233020192,6210
1560,3500,74.77157657040503,250.26818181818183,18.374988841729902,30.219937160811195,131.33262433333556,6524
1620,3500,76.66385419095168,259.65,18.053494184198044,31.70522707797772,130.60037719418378,6809
1680,3500,77.77486203420521,270.0863636363636,18.19242383858008,30.248500428449013,129.57355414254974,7119
1740,3499,75.59904767422897,280.0090909090909,16.863830165121318,33.77142857142857,128.85618228951063,7409
1800,3500,76.29921670658172,289.43636363636364,18.401660944718323,27.792059411596686,128.7467824184877,7670
1860,3499,74.10397228998387,300.3363636363636,18.22379127210844,28.057142857142857,128.2330240841803,7957
1920,3499,74.55220617119207,309.42727272727274,17.02168864246799,33.0,127.74027378374531,8238
1980,3500,74.25314355820184,318.24545454545455,16.964690059033256,35.41845187089403,126.90480608653587,8541
2040,3500,71.75660935190703,327.3772727272727,17.923134890362334,32.44787203656098,126.53447844256928,8818
2100,3500,73.14015436067855,336.3954545454545,17.40136107384079,31.59097400742645,125.55371271422685,9142
2160,3499,70.85855409259165,346.4,17.43685954338055,33.6,125.53720104482679,9400
2220,3499,70.50694574617724,356.82272727272726,18.48936746899996,27.857142857142858,125.10819601568244,9694
2280,3499,71.4474689142832,366.16818181818184,17.599141798942785,32.6,124.59762304503144,9992
2340,3499,71.15024257872068,376.0272727272727,17.856609307756116,31.742857142857144,124.16216807130223,10284
2400,3500,74.76558749634107,386.29545454545456,18.137558225148048,30.477006569551556,123.58786857431997,10596
2460,3500,73.12769799070671,395.5090909090909,17.12173275643045,33.64752927734933,122.76308387642301,10927
2520,3499,72.51358615934622,404.5772727272727,18.17131784663513,30.057142857142857,122.22449670383263,11236
2580,3499,72.10341942974298,413.7590909090909,17.73757054759738,33.31428571428572,121.844912404248,11531
2640,3499,72.36338390147432,422.9136363636364,18.0608011118518,31.285714285714285,121.86235434576326,11787
2700,3500,71.96322350265764,432.25,17.024445903134378,34.04741502427878,121.5598359206338,12078
2760,3500,72.4400813729543,441.84090909090907,18.21186336691707,31.70522707797772,121.43566908259213,12348
2820,3500,71.7542533266633,450.8909090909091,18.383965068544704,30.219937160811195,121.3045353580022,12616
2880,3499,71.23726749294995,460.4227272727273,17.37760141244219,34.542857142857144,120.9187432232349,12918
2940,3499,71.97380976075038,470.6909090909091,17.123156066484565,30.514285714285716,120.55047558085836,13220
3000,3499,71.59034995082408,480.5272727272727,17.36632394214507,31.714285714285715,120.43817592123533,13496
3060,3500,75.28826042101751,490.04545454545456,17.781041666751754,32.21936589545844,120.16662973791031,13795
3120,3499,75.32204614735146,500.4318181818182,18.21183900835621,30.314285714285713,119.98225588568553,14076
3180,3499,75.51982114243674,510.3727272727273,17.029749429921072,34.457142857142856,119.98176344015378,14333
3240,3499,78.2837870490374,519.8590909090909,19.00186953992506,30.37142857142857,120.00029222765666,14602
3300,3499,78.08542023399848,530.7863636363636,18.473999798907062,26.885714285714286,119.80927281950132,14900
3360,3500,78.39441041746204,540.6090909090909,17.914504813916047,30.79120251356755,119.41176060659332,15216
3420,3499,75.71546211429985,550.3,17.295339006934913,33.91428571428571,119.03685133605529,15523
3480,3499,76.26253043212067,560.0045454545455,18.243452012582168,29.82857142857143,118.98674657243407,15801
3540,3500,78.15468302362676,570.9227272727272,18.137989749722433,32.44787203656098,118.77881346836236,16100
3600,3499,75.45528757299795,581.0454545454545,16.47455913271194,34.4,118.53248485058904,16399
3660,3500,76.83999573567881,10.263636363636364,18.161765164777048,29.877177949157385,118.39237339290622,16696
3720,3500,80.99033619936304,19.96818181818182,17.487114191414168,30.962582119394458,118.26679173979586,16990
3780,3500,78.15629139908734,29.831818181818182,18.748708721323666,28.677520708369038,118.09129193583891,17294
3840,3500,78.14211259099983,39.97727272727273,17.471382926589623,31.248214795772636,118.14519738682999,17563
3900,3500,81.2303725689654,50.36363636363637,18.584188365146456,29.93430448443302,117.90667762009373,17874
3960,3499,80.30946118650562,60.02272727272727,17.017084666614267,32.4,117.63512866373863,18185
4020,3499,78.15274285143815,69.01363636363637,17.5416311755558,31.97142857142857,117.47458640397272,18480
4080,3500,82.11851844413113,78.35454545454546,17.780671870475476,31.533847472150814,117.51349180014182,18751
4140,3499,80.42489408232332,89.11818181818182,18.011128322944106,31.685714285714287,117.55776363577677,19022
4200,3499,78.78888812494398,99.68636363636364,18.52620857273479,31.571428571428573,117.30541426165225,19337
4260,3499,79.56601663959597,108.69090909090909,16.931186657919348,34.22857142857143,117.36781860585074,19593
4320,3500,81.75475110470228,117.69090909090909,17.932181907929184,32.87632105112825,117.04793106049468,19919
4380,3499,83.50718298093524,126.60909090909091,17.38510450015737,33.0,117.00040114890946,20193
4440,3499,81.45048753270531,135.78636363636363,16.144587451637733,34.371428571428574,116.909105772347,20479
4500,3500,81.94454059552264,145.02727272727273,17.564359762103425,32.73350471293916,116.69242361090929,20794
4560,3499,81.46448210415844,154.9409090909091,18.248663846811958,33.8,116.67187556426538,21073
4620,3500,83.99344266283315,164.02272727272728,17.2992323682923,35.98971722365039,116.58037251158945,21353
4680,3500,82.60925730277373,173.28636363636363,16.988573835960825,33.04770065695516,116.48310787851361,21641
4740,3500,83.62255138603237,183.09545454545454,17.878247571993455,33.219080262782064,116.49530934702899,21915
4800,3499,82.55095869767489,193.9318181818182,17.93346085689252,34.142857142857146,116.48704758267657,22188
4860,3499,83.99075879426394,204.2,18.18498950287365,31.485714285714284,116.29552958776725,22496
4920,3499,85.14049431016855,213.90454545454546,16.81948193593475,31.97142857142857,116.01919332575979,22822
4980,3500,85.28664283661111,223.61818181818182,18.54805628629512,31.105398457583547,116.00321560657804,23103
5040,3500,86.40140217270414,232.35454545454544,17.272872362910917,32.4764353041988,115.70607406473738,23432
5100,3499,85.6775651581656,240.72727272727272,17.609054219012886,32.74285714285714,115.54366082930669,23740
5160,3500,84.30610265260393,249.96818181818182,16.922941623775728,34.19023136246787,115.50054662043758,24017
5220,3500,84.01144251855706,259.33181818181816,17.78032551326391,31.21965152813482,115.39674781594056,24310
5280,3499,82.06275998041097,268.33181818181816,17.71337359125505,30.714285714285715,115.38156009505357,24589
5340,3500,84.4122391580478,278.78636363636366,17.562727095065448,33.53327620679806,115.45609167178345,24848
5400,3499,85.7299115805934,287.8272727272727,17.086749845921943,31.8,115.22824622483628,25170
5460,3499,86.78838736912412,297.2818181818182,18.36029131875709,32.371428571428574,115.22422511725252,25453
5520,3499,86.15889333285402,307.33181818181816,18.310150613900927,28.942857142857143,115.17624251691926,25742
5580,3499,83.37319056306906,317.8590909090909,17.400221151880558,34.68571428571428,115.102802972534,26041
5640,3500,83.27951957996697,327.20454545454544,17.575689468269687,33.04770065695516,115.11671285735488,26314
5700,3499,81.55934165656183,336.57272727272726,16.055072028063407,35.885714285714286,115.11654678854035,26581
5760,3500,82.82371737711276,346.9681818181818,16.209418296087364,35.47557840616967,115.07149726345254,26857
5820,3499,81.88718103969094,356.6818181818182,16.986928181433342,33.885714285714286,115.10287579327962,27120
5880,3500,81.92374227260805,365.15909090909093,17.47193456904863,33.99028848900314,115.0865603985324,27393
5940,3500,79.6590338777863,375.16818181818184,17.720663024116956,34.99000285632676,115.05572362040269,27677
6000,3500,77.1960908564436,383.66818181818184,17.991185408062805,30.505569837189373,114.89178421855833,27989
6060,3500,78.6407460073072,393.54545454545456,17.757607239737048,31.73379034561554,114.7251800385379,28303
6120,3500,78.48803770991509,401.95,17.161905028425466,33.07626392459297,114.61695243791554,28602
6180,3500,77.67795694487677,410.7909090909091,16.580501307958574,34.16166809483005,114.48004808113215,28905
6240,3500,77.05710115998374,419.0772727272727,16.92440641198021,32.99057412167952,114.52581297608205,29166
6300,3500,73.57688433379658,428.01363636363635,17.662679240321353,30.762639245929734,114.51038651639247,29445
6360,3499,73.53375278357723,437.9136363636364,16.7650290326271,34.22857142857143,114.48209533585165,29725
6420,3500,76.09141794651222,447.04545454545456,17.89121031834675,34.70437017994858,114.41050684481188,30017
6480,3499,74.96008478957698,456.6545454545454,17.343524669369344,36.65714285714286,114.33731776334531,30306
6540,3500,72.13842114003315,465.84090909090907,17.281809203971825,34.96143958868895,114.32184583176674,30581
6600,3500,71.78671260514872,475.76363636363635,17.01866586282933,33.50471293916024,114.2351983989756,30874
6660,3500,71.20095138194328,485.82272727272726,17.94105063575148,31.44815766923736,114.28043106213096,31141
6720,3499,72.37932055801876,495.1181818181818,18.18834858066984,32.97142857142857,114.30798334841094,31409
6780,3500,72.19414598944009,504.34090909090907,16.741444428502973,34.133104827192234,114.32445635981485,31673
6840,3499,73.66593850975514,514.1181818181818,18.07671863576241,32.4,114.17541920100666,31988
6900,3499,72.75187976279638,522.8772727272727,16.730615919755863,33.714285714285715,114.1575828885249,32259
6960,3499,75.5378380244745,532.7454545454545,18.00518411287475,32.0,114.18876846642904,32521
7020,3499,73.59718226848784,542.4818181818182,17.102732364508647,32.628571428571426,114.16757648889089,32799
7080,3499,73.46672266491524,550.2636363636364,17.356493912892777,35.114285714285714,114.11644559776045,33088
7140,3499,75.66896882059667,560.5136363636364,17.708717935831324,32.17142857142857,114.15034702732268,33352
7200,3500,75.89505403104219,570.8909090909091,17.66971528140065,33.04770065695516,114.08910825379195,33648
7260,3500,76.25661962447079,9.177272727272728,17.482085280760035,33.219080262782064,114.05519972787829,33930
7320,3500,75.55849399788768,19.62727272727273,17.918878778050413,31.105398457583547,113.98205475806041,34223
7380,3500,78.10388751971405,28.70909090909091,16.55754588146943,35.50414167380748,113.9832095415545,34494
7440,3500,82.1471926613076,38.413636363636364,17.371856588052243,34.27592116538132,113.92608020407789,34784
7500,3500,82.03656203082416,47.75909090909091,17.256197938520305,30.848329048843187,113.93315614815683,35051
7560,3499,81.58476903545089,57.122727272727275,18.231239028192814,31.97142857142857,113.81409272312592,35366
7620,3499,80.78686329266851,66.13636363636364,16.67592027269527,35.77142857142857,113.84428681256684,35626
7680,3499,80.84188112083326,75.86818181818182,18.504551495277287,30.114285714285714,113.83986949142432,35900
7740,3500,78.796019691368,85.99090909090908,17.650267275022937,32.904884318766065,113.84568919074172,36169
7800,3500,78.0560324479626,94.86818181818182,17.407077353166255,33.419023136246786,113.81984226769167,36446
7860,3500,81.39958741728849,104.26818181818182,19.145615544948615,29.762924878606114,113.88168283925,36705
7920,3499,83.89398962561576,113.46818181818182,17.27922424594787,33.97142857142857,113.77990695713481,37007
7980,3500,83.65565359739253,122.82727272727273,16.383024885503765,37.21793773207655,113.70376226896776,37298
8040,3499,83.40714939688188,131.68636363636364,17.988754074462452,31.457142857142856,113.68344225604248,37577
8100,3500,83.13366752440352,141.3590909090909,17.54356867401405,35.38988860325621,113.73715414091411,37833
8160,3499,86.74641829321745,151.3590909090909,17.67581235380357,36.142857142857146,113.881722629927,38051
8220,3499,85.42568541274163,162.0818181818182,16.65232279718908,35.285714285714285,113.86913781243295,38319
8280,3499,84.64811829213393,170.7409090909091,16.761193746240906,33.6,113.87689424640155,38582
8340,3499,83.53041970555216,180.23181818181817,17.097230349287823,35.628571428571426,113.88638506133005,38847
8400,3499,87.88645473836746,189.04545454545453,16.94456771737473,34.05714285714286,113.89448938015778,39113
8460,3500,89.5748459360767,198.0818181818182,17.99904792941401,31.562410739788632,113.84468638909263,39405
8520,3499,89.31178564378901,207.1590909090909,17.452023526686315,34.74285714285714,113.60718363235156,39757
8580,3499,88.81596831368194,216.07272727272726,17.582519258356793,32.4,113.5879008689565,40037
8640,3499,86.49263705076854,224.46818181818182,17.32558907674757,34.885714285714286,113.67197961832626,40282
8700,3500,86.27731921436443,233.64545454545456,17.192985725685272,36.07540702656384,113.60299370594066,40575
8760,3500,86.4225753139757,242.2409090909091,16.800850422110944,35.27563553270494,113.60637526689116,40838
8820,3500,85.00437787632903,251.03636363636363,17.273228366645316,33.50471293916024,113.60297802540987,41108
8880,3500,83.92891701103038,260.97727272727275,18.278733930584348,33.13339045986861,113.61607377468916,41377
8940,3499,83.91652441942976,269.8636363636364,17.31268091130142,32.8,113.64578276667869,41634
9000,3499,84.24452045777025,279.4681818181818,16.953802958444374,34.74285714285714,113.56583203310431,41930
9060,3500,84.25074603832896,289.3590909090909,17.29567604648026,33.87603541845187,113.47865521049158,42233
9120,3500,84.13580675002171,300.00454545454545,18.072530420862194,31.133961725221365,113.3888693994449,42538
9180,3499,84.2644296152096,310.84090909090907,17.666433922035345,33.94285714285714,113.42555799402572,42800
9240,3500,85.35258541928182,320.47727272727275,16.99034798711526,34.732933447586404,113.3386711325789,43102
9300,3500,83.0697625717157,329.6545454545454,17.162215014702994,33.933161953727506,113.29442162675491,43394
9360,3499,84.6026555111795,339.4,18.459499294999613,29.6,113.30845083705503,43665
9420,3499,82.71013078314786,349.45454545454544,16.546997876373688,35.285714285714285,113.22653304498607,43968
9480,3500,78.94269235354925,358.8590909090909,17.07972168254262,34.218794630105684,113.1808674954134,44260
9540,3500,75.92764369100291,367.90909090909093,17.103494299643533,33.10482719223079,113.16339713460798,44543
9600,3500,78.46407136589711,376.8681818181818,17.00325009228483,33.36189660097115,113.12978667493834,44831
9660,3499,76.49342777167372,386.47727272727275,17.638474168175716,30.885714285714286,113.07908310339442,45136
9720,3500,75.42119007753317,396.71363636363634,18.36182100029828,31.933733219080263,113.085546864885,45413
9780,3500,77.34961327584173,405.5,16.702455658482155,34.96143958868895,113.13352840018064,45668
9840,3500,79.70133338280513,414.4727272727273,16.728533831649735,34.447300771208226,113.17201789815519,45925
9900,3499,77.02075531665412,424.20454545454544,18.606809953435118,32.51428571428571,113.17933214018956,46200
9960,3500,78.4887027160621,433.05,16.61397918368029,35.98971722365039,113.16907183522733,46468
10020,3499,78.12485439232005,442.3545454545455,16.10141769722204,37.542857142857144,113.20396093753847,46719
10080,3499,80.16951068245878,451.1818181818182,17.430491975833732,34.34285714285714,113.21171656286457,46988
10140,3499,79.9947609254682,460.22727272727275,16.874672733594785,36.4,113.19376409174619,47263
10200,3500,81.13020235789382,470.08181818181816,17.19190744238961,32.27649243073407,113.21215979490441,47527
10260,3500,80.7745070558364,479.8590909090909,17.736941675394366,33.96172522136533,113.20488444551367,47801
10320,3500,79.92054911069972,488.3,17.02586713505249,34.01885175664096,113.12688920717936,48104
10380,3500,80.27021917724734,497.69545454545454,16.80311156192331,34.87574978577549,113.08976084053661,48392
10440,3500,80.22716515770847,506.5954545454546,16.2459930080897,34.847186518137676,113.06363657134985,48674
10500,3499,79.67188649075814,515.2863636363636,16.184558911435406,38.114285714285714,112.97301461214701,48984
10560,3499,79.9880446821585,524.4681818181818,18.046095223632623,33.6,112.93706781956004,49276
10620,3500,78.17238168302346,533.0863636363637,17.1788477016733,36.61810911168238,112.84652551096706,49583
10680,3499,79.56614926632473,542.4681818181818,17.1941752195191,34.371428571428574,112.83207292033507,49861
10740,3499,79.72289320161097,551.4454545454546,15.885167406808568,37.2,112.8920073271636,50103
10800,3500,79.15140775613425,560.0454545454545,16.521782691215943,36.18966009711511,112.8926496249899,50374
10860,3499,79.71797125541443,9.495454545454546,17.43821730074769,33.97142857142857,112.88223083444086,50649
10920,3500,77.69116168214278,19.704545454545453,17.16493678379716,35.56126820908312,112.86503018558363,50932
10980,3499,81.26440782490636,29.28181818181818,15.90989101874624,36.542857142857144,112.8764609580068,51198
11040,3500,82.30707969089235,39.35,16.982060227491576,33.59040274207369,112.86472174326406,51481
11100,3500,81.34633362783514,48.82272727272727,17.251857893899896,33.618966009711514,112.88604569900488,51750
11160,3499,83.27768829192081,58.36818181818182,17.14650666485919,36.51428571428571,112.94959137983895,51991
11220,3500,82.49657808851235,68.51363636363637,17.838991327613936,32.1622393601828,112.9102216763261,52279
11280,3500,81.35948370695847,77.75454545454545,16.6152651778734,33.818908883176235,112.85352873454313,52576
11340,3499,84.48120492137217,87.11363636363636,17.125072492137626,36.08571428571429,112.83123130818481,52863
11400,3499,82.59911201276057,97.22727272727273,18.174030024414453,32.22857142857143,112.83990712938801,53134
11460,3499,83.58703045287724,106.37727272727273,17.03699248929291,32.97142857142857,112.84753269266362,53400
11520,3499,84.31072156204694,115.49545454545455,17.369763147832586,34.4,112.77956321203922,53708
11580,3500,83.49243517365092,125.15,17.300723855787894,32.904884318766065,112.71459417788398,54015
11640,3499,81.07360032501116,133.1090909090909,16.592110738105415,36.05714285714286,112.65246456041959,54316
11700,3500,80.51511577942308,143.3181818181818,17.709592733917816,32.44787203656098,112.62586570691127,54606
11760,3500,78.9721613700144,152.12272727272727,17.760948915606743,33.847472150814056,112.56437795780349,54909
11820,3499,79.09154752266966,160.60454545454544,17.99768667845693,31.97142857142857,112.60906082429577,55163
11880,3500,80.50013134595585,169.8409090909091,18.23471474909326,32.01942302199372,112.67441266945032,55403
11940,3500,80.67394615863981,179.6681818181818,17.448051384599903,33.36189660097115,112.67807430988464,55677
12000,3500,80.4331970954142,190.55,17.822520741670118,31.419594401599543,112.62155628087982,55988
12060,3499,78.04933646410413,200.04545454545453,17.482852818635536,32.08571428571429,112.60541900430968,56270
12120,3499,78.71850107558797,208.02272727272728,16.8609981989944,35.97142857142857,112.558482104879,56561
12180,3499,76.15480567152335,216.47727272727272,17.995017037121244,32.34285714285714,112.58522415340222,56822
12240,3499,74.48666681861144,225.2409090909091,16.605744418608573,33.74285714285714,112.58134167811514,57097
12300,3500,75.11587647935445,235.7,17.97017954288429,33.07626392459297,112.58622457530272,57376
12360,3500,76.04507304682781,245.04545454545453,17.32417000947775,36.84661525278492,112.59327197568054,57645
12420,3500,75.86843232207124,254.78636363636363,15.936467300190749,37.50357040845473,112.61086888492743,57903
12480,3499,74.98441938692898,263.85,16.88253731808283,34.22857142857143,112.57181488389946,58196
12540,3500,73.85774136779807,273.9590909090909,17.91203526229667,33.56183947443588,112.51844387742416,58501
12600,3500,73.7533092623365,282.8272727272727,16.715968339177525,35.27563553270494,112.47755739536377,58790
