cycle,length(car),delta_medio,flusso_medio,vel_media,auto_ferme,cum_acc,n_trips
0,4500,0.0,0.0,0.0,99.97778271495223,0.0,0
0,3500,0.0,0.0,0.0,99.97143673236218,0.0,0
60,3500,37.41208630399991,3.95,18.48628337352031,39.36018280491288,637.767870526185,62
120,3500,38.756952595566226,11.136363636363637,19.66619042147336,29.56298200514139,687.9660500860681,108
180,3500,40.73186893325479,20.604545454545455,19.11296627229765,30.334190231362467,572.5064949409106,191
240,3500,40.97745571759819,31.513636363636362,18.32845000678815,32.13367609254499,455.3119293352266,316
300,3500,43.393619192416025,43.14090909090909,18.799972951396853,32.419308768923166,373.518918285733,479
360,3500,47.19287032602015,55.56363636363636,19.770300893207384,29.96286775207084,313.39331218483596,681
420,3500,49.559116293850494,66.68181818181819,19.40065551611523,28.477577834904313,261.9344098236235,946
480,3500,50.45337928031305,78.30454545454545,18.987382796262462,28.591830905455584,231.41953630679566,1218
540,3499,52.27324905097023,88.65454545454546,18.94409761890828,27.6,216.75305929020544,1458
600,3499,54.49558650070149,98.2090909090909,19.03270455384494,26.62857142857143,200.80059329646414,1744
660,3500,54.58969015017373,109.41818181818182,19.70901612108219,22.90774064552985,188.47927991993114,2041
720,3499,57.22121595964471,120.25,18.726272097960916,27.457142857142856,178.5710272618235,2346
780,3500,60.35505183639714,130.60454545454544,18.250634328553545,27.306483861753783,167.17995466799823,2704
840,3500,63.03243259216066,141.03181818181818,17.689781474265665,29.448728934590118,160.19229646525037,3034
900,3499,64.28799252863965,151.10454545454544,18.39083035630061,28.142857142857142,155.22073280750058,3347
960,3500,64.43080008547575,161.64545454545456,18.430598672886646,30.134247357897742,151.58034345715575,3652
1020,3500,65.81514186956679,172.45454545454547,18.60996915640145,29.105969722936305,148.991273855552,3941
1080,3500,71.15141952605373,182.56363636363636,19.36549578352512,27.22079405884033,147.30308231475993,4217
1140,3500,73.45388030473026,193.72727272727272,19.562474366159766,27.049414453013426,145.35678534977578,4513
1200,3500,74.6059241541348,204.14545454545456,19.317638050555047,27.192230791202512,143.5794074878294,4808
1260,3500,76.20082830310447,213.8590909090909,19.386814675551808,24.878606112539273,141.03621664594033,5137
1320,3499,74.68886376272819,224.03181818181818,19.491580565831377,27.228571428571428,139.14512876973313,5452
1380,3499,75.61509241431109,235.27727272727273,19.747114433537266,25.65714285714286,137.98149528137057,5748
1440,3500,79.51966775435875,245.98636363636365,19.010040200409996,27.934875749785775,137.21202113233156,6031
1500,3500,77.46970478349934,255.8909090909091,19.48289645807445,26.62096543844616,136.1112277520759,6327
1560,3500,76.19826744048454,265.4590909090909,19.30154616448905,24.93573264781491,135.15313093233914,6622
