cycle,length(car),delta_medio,flusso_medio,vel_media,auto_ferme,cum_acc,n_trips
0,3500,0.0,0.0,0.0,99.97143673236218,0.0,0
60,3500,41.33398142913036,3.918181818181818,18.85900604027766,38.1033990288489,471.8723365028601,84
120,3500,42.0041548916924,10.586363636363636,19.826525955560722,28.50614110254213,495.43545262962647,150
180,3500,42.838122985827354,20.145454545454545,19.11420355391328,29.4201656669523,421.92003368852846,259
240,3500,45.44867875130976,30.727272727272727,19.702920116628196,28.163381890888317,376.6283512688537,383
300,3499,47.48458096317836,42.18636363636364,19.07529137597329,30.37142857142857,325.2975641409859,550
360,3500,50.902748423110715,53.79545454545455,18.75872066093595,33.019137389317336,283.950109824524,750
420,3499,54.35073732053739,65.00454545454545,19.38330799952771,30.771428571428572,243.38265750904654,1015
480,3500,58.4984894658537,78.25454545454545,20.9612536714862,25.16423878891745,223.40468125961178,1264
540,3499,60.84184468831319,89.48636363636363,18.54844911478054,27.885714285714286,206.5792475123909,1530
600,3500,61.65517244049448,101.4,19.582456328746275,25.59268780348472,191.12810714864193,1837
660,3500,62.4854765559436,111.99090909090908,18.43480310840923,28.620394173093402,177.68864833379595,2168
720,3499,65.03079057595345,121.52727272727273,18.416525266992583,27.942857142857143,169.12960437923232,2477
780,3500,67.45487843938542,132.03636363636363,19.77415710108923,25.59268780348472,161.42688748365984,2811
840,3500,69.47981521085899,142.92727272727274,18.40516450399552,25.878320479862897,155.4822929618245,3138
900,3499,70.40630681392994,153.12272727272727,18.36699695687936,29.2,151.3603290102465,3448
960,3499,70.53803838766189,164.68636363636364,20.224953501637245,26.37142857142857,148.55589422488077,3746
1020,3499,70.14917762534091,174.16363636363636,18.282568266624654,30.0,144.87358013323453,4069
1080,3499,70.71317431527356,183.64545454545456,18.59363415324349,29.02857142857143,143.67839996792682,4333
1140,3499,70.53638097722883,194.1681818181818,19.488485731572915,27.228571428571428,142.4502387367096,4607
1200,3499,71.44137996351397,205.23636363636365,18.655665781483748,27.742857142857144,140.64186966136802,4903
1260,3499,70.46265901205369,215.73636363636365,20.22297815451886,24.2,139.16688897667322,5201
1320,3499,70.87371004534926,226.70454545454547,18.494510527132288,27.085714285714285,136.96990538624652,5530
1380,3499,70.57977139770941,237.04090909090908,18.553742618900927,30.114285714285714,134.5565665301817,5884
1440,3500,67.38229389132337,247.35,19.44207695185585,23.993144815766925,133.38480052306292,6194
1500,3500,67.48810511234625,257.66818181818184,19.347440531873104,23.764638674664383,132.58357097396333,6493
1560,3499,65.57914328755189,268.4,18.90250901514816,26.6,131.9189560118895,6784
