cycle,length(car),delta_medio,flusso_medio,vel_media,auto_ferme,cum_acc,n_trips
0,3500,0.0,0.0,3.6,0.0,0.0,0
60,3499,49.07420012228622,3.8363636363636364,18.090426904477923,37.91428571428571,503.4390566506004,75
120,3499,49.973777410605884,10.95,19.82306430456227,29.485714285714284,521.8073039964388,139
180,3499,50.20440600876971,20.722727272727273,19.542576963129523,26.857142857142858,470.0760453718585,229
240,3500,51.40210080844585,30.404545454545456,18.036299306027075,32.190802627820624,381.2427998889733,372
300,3500,53.68718873434937,41.03181818181818,18.83290415721725,27.47786346758069,330.6128493237381,533
360,3499,56.936615460737684,55.19090909090909,21.22465019412099,26.228571428571428,291.2728513137334,727
420,3500,58.34030088406193,67.73636363636363,18.898597835978016,28.848900314195944,260.73228290419127,944
480,3499,59.80932728913267,79.60909090909091,19.708312164968305,27.62857142857143,233.38007025409163,1204
540,3500,63.0961874726721,90.2090909090909,19.197924397788135,28.76321051128249,216.94423682558136,1449
600,3499,67.04496594577904,101.55,19.540692175306535,27.457142857142856,200.94012751848612,1735
660,3500,71.72707600751384,112.07727272727273,18.977675504652925,21.73664667237932,186.65160548837278,2050
720,3499,73.46333632690725,121.53636363636363,17.3041815155809,31.142857142857142,176.97654334997097,2352
780,3499,73.37814094879722,131.0,18.91369146545617,26.0,168.65265823087486,2672
840,3500,72.35826886102681,139.78181818181818,18.26510617455872,24.90716938017709,161.57251839924533,2996
900,3500,76.20040112792518,149.4409090909091,18.95239335270287,26.07826335332762,158.0618197556381,3276
960,3500,76.81650787369465,159.23636363636365,18.765842230203834,28.963153384747216,153.85381622982266,3585
1020,3500,77.94547394063443,169.11363636363637,20.721425544709728,23.450442730648387,151.48815496242955,3867
1080,3500,78.12055812329713,179.9909090909091,18.954911122334657,25.221365324193087,148.09960341950907,4186
1140,3500,79.05157418441912,192.29545454545453,20.383604029813583,24.850042844901456,145.43730756995788,4500
1200,3500,77.53829883665593,202.87727272727273,19.19119848006663,28.420451299628677,142.1807182505039,4842
1260,3500,79.2064882201511,213.09545454545454,18.39917707888785,27.47786346758069,140.54582403184403,5136
1320,3500,77.65108803103247,223.43636363636364,19.732775667005658,24.821479577263638,138.69880826899157,5452
1380,3500,76.37260509136823,233.75454545454545,19.053544429058046,26.820908311910884,137.67400431733708,5741
1440,3500,76.18300051135583,243.76818181818183,18.931596709586202,24.450157097972006,135.60840018662446,6081
1500,3499,74.2886141472506,254.26818181818183,19.55756646441129,27.0,134.15982521887682,6400
1560,3499,75.21691612281128,264.6227272727273,18.565749352916708,26.02857142857143,133.1218489870393,6705
1620,3500,72.34019907327092,274.9318181818182,19.56198411740342,25.84975721222508,131.68721900736122,7042
1680,3499,70.75322267438489,284.7590909090909,19.503977647274922,25.17142857142857,130.13299886687747,7387
1740,3500,69.3929066736358,294.2909090909091,18.281114826867334,28.591830905455584,129.63161778918894,7672
1800,3500,70.10399886323651,304.02272727272725,19.071184533275336,26.10682662096544,129.61444574980507,7932
1860,3499,72.24016281044175,315.24545454545455,19.53502181664439,25.714285714285715,128.90728922278197,8236
1920,3499,73.27815276675003,325.26363636363635,19.485517148971727,24.514285714285716,128.43606372176325,8528
1980,3500,72.56487936334115,336.1909090909091,18.59295458659518,27.963439017423593,128.02160015440475,8817
2040,3499,73.01456631036746,347.7090909090909,19.370672012814296,25.485714285714284,127.4283963383954,9129
2100,3500,71.38156453045087,357.95,19.941351889238888,24.450157097972006,127.08834250831464,9420
2160,3500,68.22452048944834,367.50454545454545,18.855706484123868,25.30705512710654,126.15754886566913,9755
2220,3499,69.5024388555004,377.83181818181816,18.8277239004937,27.62857142857143,125.62053700890334,10071
2280,3500,69.30830273912348,388.9318181818182,21.461541027733723,21.222507854898602,125.33681860169727,10371
2340,3499,68.53904616375138,400.53636363636366,21.092025796648063,20.885714285714286,125.0024013155321,10674
2400,3500,67.5397768576386,411.4,19.701404765926377,22.450728363324764,124.21634526014623,11020
2460,3499,66.32785239149844,421.67727272727274,18.922953231852464,25.428571428571427,123.72214282954923,11338
2520,3500,66.72836318251491,431.70454545454544,19.24762153261812,23.593259068837476,123.23854512681227,11655
2580,3500,67.18818302252735,441.79545454545456,17.34273133348995,28.563267637817766,122.9335906801135,11957
2640,3500,67.09980643187225,451.6090909090909,19.705426134248814,27.534990002856325,122.35555347149574,12291
2700,3500,66.75092733598827,462.25,19.032932765558396,28.220508426163953,122.00666363895463,12603
2760,3499,68.36705715275174,472.55,19.111674346889213,27.942857142857143,121.99069886424964,12884
2820,3500,69.95465728776279,483.95,20.137608415649566,24.307340759782917,121.62617936048233,13205
2880,3500,68.34676839640541,494.50454545454545,18.40033937067907,23.050556983718938,121.06848600566914,13545
2940,3499,75.61101116605074,505.5,19.808870257254878,23.314285714285713,120.55676959839036,13892
3000,3500,77.39629452114889,515.8909090909091,19.24506031124529,24.53584690088546,120.35821218354657,14198
3060,3500,78.0475228776223,526.0545454545454,18.423466451432603,26.278206226792346,120.24307658951261,14496
3120,3500,79.41704743391867,536.4954545454545,19.71135374157478,24.67866323907455,119.8104703782221,14832
3180,3499,82.47199877297153,546.6545454545454,19.59326042394928,22.942857142857143,119.56149079447393,15149
